key,year,month,value
2016_07,2016,7,11420
2016_08,2016,8,24153
2016_09,2016,9,19866
2016_10,2016,10,18159
2016_11,2016,11,14427
2016_12,2016,12,10612
2017_01,2017,1,10347
2017_02,2017,2,9533
2017_03,2017,3,13906
2017_04,2017,4,13859
2017_05,2017,5,19380
2017_06,2017,6,18679
2017_07,2017,7,22086
2017_08,2017,8,25207
2017_09,2017,9,25044
2017_10,2017,10,27824
2017_11,2017,11,22632
2017_12,2017,12,20758
2018_01,2018,1,22221
2018_02,2018,2,19987
2018_03,2018,3,23179
2018_04,2018,4,24863
2018_05,2018,5,26115
2018_06,2018,6,26379
2018_07,2018,7,30350
2018_08,2018,8,33328
2018_09,2018,9,31605
2018_10,2018,10,28925
2018_11,2018,11,23953
2018_12,2018,12,20989
2019_01,2019,1,19471
2019_02,2019,2,16965
2019_03,2019,3,20922
2019_04,2019,4,18742
2019_05,2019,5,18922
2019_06,2019,6,26881
